model,column,old,new,delta
HuBERT Large,ASV21 DF,11.996,8.821,-3.175
HuBERT Large,ASV5 Eval,21.252,17.422,-3.83
HuBERT Large,ITW,21.039,13.609,-7.43
HuBERT Large,DFEval24,52.991,54.099,1.108
HuBERT Large,FF,48.44,48.606,0.166
HuBERT Large,ASVLD,12.593,15.749,3.156
HuBERT Large,MLAAD,24.704,35.953,11.249
HuBERT Large,SpoofCeleb,25.721,25.721,0.0
MR-HuBERT,ASV19 LA,2.478,2.243,-0.235
MR-HuBERT,ASV21 LA,9.017,9.014,-0.003
MR-HuBERT,ASV21 DF,11.635,7.875,-3.76
MR-HuBERT,ASV5 Eval,23.056,17.037,-6.019
MR-HuBERT,ITW,23.799,20.252,-3.547
MR-HuBERT,DFEval24,49.696,54.517,4.821
MR-HuBERT,FF,52.72,53.406,0.686
MR-HuBERT,ASVLD,7.041,9.641,2.6
MR-HuBERT,MLAAD,20.79,30.332,9.542
MR-HuBERT,SpoofCeleb,23.373,23.362,-0.011
XLS-R,ASV19 LA,1.985,1.808,-0.177
XLS-R,ASV21 LA,14.096,14.101,0.005
XLS-R,ASV21 DF,4.314,4.333,0.019
XLS-R,ASV5 Eval,14.394,14.394,0.0
XLS-R,ITW,20.073,17.461,-2.612
XLS-R,DFEval24,45.392,50.463,5.071
XLS-R,FF,29.598,30.024,0.426
XLS-R,ASVLD,10.782,10.28,-0.502
XLS-R,MLAAD,9.203,20.188,10.985
XLS-R,SpoofCeleb,19.269,19.247,-0.022
UniSpeech-SAT,ASV19 LA,1.961,1.346,-0.615
UniSpeech-SAT,ASV21 LA,8.818,8.818,0.0
UniSpeech-SAT,ASV21 DF,7.443,7.588,0.145
UniSpeech-SAT,ASV5 Eval,14.996,14.996,0.0
UniSpeech-SAT,ITW,16.791,10.841,-5.95
UniSpeech-SAT,DFEval24,49.8,49.569,-0.231
UniSpeech-SAT,FF,46.601,46.897,0.296
UniSpeech-SAT,ASVLD,8.965,9.713,0.748
UniSpeech-SAT,MLAAD,13.095,21.821,8.726
UniSpeech-SAT,SpoofCeleb,18.073,18.053,-0.02
Data2Vec,ASV19 LA,7.695,9.218,1.523
Data2Vec,ASV21 LA,12.877,12.877,0.0
Data2Vec,ASV21 DF,16.511,15.457,-1.054
Data2Vec,ASV5 Eval,26.773,21.47,-5.303
Data2Vec,ITW,29.249,27.811,-1.438
Data2Vec,DFEval24,50.808,52.425,1.617
Data2Vec,FF,53.092,53.523,0.431
Data2Vec,ASVLD,12.808,14.875,2.067
Data2Vec,MLAAD,20.351,28.17,7.819
Data2Vec,SpoofCeleb,32.054,32.031,-0.023
WAVLABLM,ASV19 LA,3.631,2.91,-0.721
WAVLABLM,ASV21 LA,15.38,15.381,0.001
WAVLABLM,ASV21 DF,9.847,9.895,0.048
WAVLABLM,ASV5 Eval,21.115,21.116,0.001
WAVLABLM,ITW,23.402,16.206,-7.196
WAVLABLM,DFEval24,52.53,55.709,3.179
WAVLABLM,FF,52.66,53.219,0.559
WAVLABLM,ASVLD,13.323,15.671,2.348
WAVLABLM,MLAAD,24.992,38.055,13.063
WAVLABLM,SpoofCeleb,29.649,29.597,-0.052
WavLM Large,ASV19 LA,2.273,1.697,-0.576
WavLM Large,ASV21 LA,11.636,12.395,0.759
WavLM Large,ASV21 DF,11.527,9.246,-2.281
WavLM Large,ASV5 Eval,17.549,14.973,-2.576
WavLM Large,ITW,24.331,17.986,-6.345
WavLM Large,DFEval24,49.696,52.085,2.389
WavLM Large,FF,35.367,36.269,0.902
WavLM Large,ASVLD,10.951,13.306,2.355
WavLM Large,MLAAD,19.259,29.751,10.492
WavLM Large,SpoofCeleb,24.922,24.92,-0.002
SSAST,ASV19 LA,11.693,11.543,-0.15
SSAST,ASV21 LA,24.935,24.924,-0.011
SSAST,ASV21 DF,22.909,22.899,-0.01
SSAST,ASV5 Eval,31.186,31.187,0.001
SSAST,ITW,47.113,46.04,-1.073
SSAST,DFEval24,40.184,46.598,6.414
SSAST,FF,36.885,34.107,-2.778
SSAST,ASVLD,27.139,28.864,1.725
SSAST,MLAAD,13.1,22.52,9.42
SSAST,SpoofCeleb,36.585,36.585,0.0
MAE-AST-FRAME,ASV19 LA,7.685,5.058,-2.627
MAE-AST-FRAME,ASV21 LA,19.554,19.554,0.0
MAE-AST-FRAME,ASV21 DF,17.001,16.39,-0.611
MAE-AST-FRAME,ASV5 Eval,27.295,24.513,-2.782
MAE-AST-FRAME,ITW,43.645,52.192,8.547
MAE-AST-FRAME,DFEval24,47.974,54.774,6.8
MAE-AST-FRAME,FF,35.214,34.821,-0.393
MAE-AST-FRAME,ASVLD,22.009,23.039,1.03
MAE-AST-FRAME,MLAAD,9.12,18.953,9.833
MAE-AST-FRAME,SpoofCeleb,34.994,34.973,-0.021
